"p" "slope" "resol"
"1" 0.195464396748236 -2.13737034882165 0.64
"2" 0.221860356604641 -2.05079972841376 0.74
"3" 0.221013369807082 -2.07382780305595 0.75
"4" 0.347184497291915 -1.60000744490036 0.75
"5" 0.237107498930689 -2.03416313889626 0.76
"6" 0.195288551366192 -2.25271058610508 0.77
"7" 0.167384876603111 -2.41871199828659 0.78
"8" 0.174466524779444 -2.39590816504661 0.78
"9" 0.181175772653077 -2.37611557815306 0.78
"10" 0.176234635667138 -2.42176992077937 0.79
"11" 0.119599543576785 -2.79851925536085 0.8
"12" 0.123679905119593 -2.78625126884728 0.8
"13" 0.0927067742746635 -3.05823350902624 0.8
"14" 0.101170139585088 -3.00181923375891 0.82
"15" 0.116242883107711 -2.89310054724274 0.82
"16" 0.099105850579089 -3.06117712963944 0.83
"17" 0.0907641051471024 -3.15529749089417 0.83
"18" 0.0968158211500738 -3.11583057917053 0.84
"19" 0.0816947300548449 -3.28117051904101 0.84
"20" 0.0592206412081318 -3.56689764620743 0.85
"21" 0.0470654403220778 -3.77568743112461 0.85
"22" 0.0523481034792727 -3.70577650766073 0.85
"23" 0.037677314533248 -3.98341437351138 0.85
"24" 0.0415346303271159 -3.92865907631708 0.85
"25" 0.0623953017144288 -3.62681942425841 0.85
"26" 0.0499703803307987 -3.8364744114689 0.85
"27" 0.0456061403653788 -3.93429674583463 0.86
"28" 0.0604585315689556 -3.71934171897896 0.86
"29" 0.0367430885227341 -4.14864878939209 0.86
"30" 0.0362044217933819 -4.18121577558632 0.88
"31" 0.0406388531994246 -4.11326098941124 0.89
"32" 0.0428717799468816 -4.08189517432736 0.89
"33" 0.0479277819233816 -3.9997437624515 0.89
"34" 0.0638555980356958 -3.75338128367853 0.89
"35" 0.119653946508785 -3.15403120188183 0.89
"36" 0.106417317750836 -3.28469965895347 0.89
"37" 0.0676300336147206 -3.72682250879556 0.9
"38" 0.083096996846654 -3.55585000859149 0.9
"39" 0.115376685483121 -3.23558438246549 0.9
"40" 0.0804111318088073 -3.59524569676795 0.9
"41" 0.0662845831147341 -3.79137360255695 0.9
"42" 0.0727743815926399 -3.71767661084786 0.9
"43" 0.0794719489095123 -3.65026539391063 0.91
"44" 0.0561001541582268 -3.98528784954783 0.91
